Coef.,Std.Err.,z,P>|z|,[0.025,0.975],term,p,OR,CI_low,CI_high,CI_width,q,N_rows,N_trials
0.6782093772581874,0.3348615676618686,2.0253425377946606,0.04283220344575857,0.02189276483430258,1.3345259896820723,has_contributing,0.04283220344575857,1.9703464244371245,1.0221218428047896,3.7982409432117157,2.776119100406926,0.17855133220955333,54,4455
-0.24157264840870418,0.20026073737785588,-1.2062906167817617,0.22770545435778988,-0.6340764811867359,0.15093118436932756,has_coc,0.22770545435778988,0.7853917442559384,0.5304212940998415,1.1629250160331555,0.632503721933314,0.38709927240824277,54,4455
-0.18615648667523665,0.26864312588957134,-0.6929508657956812,0.48834038669652957,-0.7126873381130563,0.340374364762583,has_issue_template,0.48834038669652957,0.8301436783928898,0.49032001293751715,1.4054872503511224,0.9151672374136053,0.6385989672185387,54,4455
0.3013776548396385,0.42699538760216166,0.7058100944182489,0.4803062437070229,-0.535517926425319,1.1382732361045962,has_pr_template,0.4803062437070229,1.3517197286542284,0.5853570331371473,3.121421835560258,2.5360648024231107,0.6385989672185387,54,4455
-0.26484982770426624,0.42353792877553875,-0.6253272958810449,0.5317562686039939,-1.0949689141910128,0.5652692587824804,has_codeowners,0.5317562686039939,0.7673211717060036,0.33454490338669113,1.7599484391717595,1.4254035357850683,0.6457040404477069,54,4455
-0.46473634484933035,0.35111486366297473,-1.3236020258470678,0.1856352520144242,-1.1529088320654521,0.22343614236679143,discussions_enabled,0.1856352520144242,0.6283007380794633,0.31571307207835114,1.250381604006658,0.9346685319283068,0.3506443649161346,54,4455
-0.5041480776455329,0.17778887707746385,-2.835655896661477,0.004573168942997584,-0.8526078735691809,-0.15568828172188498,readme_words_log,0.004573168942997584,0.6040199343836301,0.4262990103429748,0.8558314053773575,0.4295323950343827,0.02591462401031964,54,4455
0.14363942947980218,0.09545822386829239,1.504736036970344,0.13239195418459943,-0.04345525133021266,0.33073411028981703,docs_md_count,0.13239195418459943,1.154467766425989,0.9574721071149915,1.391994413009615,0.4345223058946234,0.33079843401425874,54,4455
-0.027060105122925893,0.14883580228637144,-0.18181180003222736,0.8557304237791081,-0.31877291721433815,0.26465270696848636,R,0.8557304237791081,0.9733027392854234,0.7270367317627887,1.302985366370171,0.5759486346073822,0.8709881175242506,54,4455
-0.3609545506165443,0.24224326602555138,-1.4900498847240256,0.13621111988822418,-0.8357426275239803,0.11383352629089166,A,0.13621111988822418,0.6970106764525016,0.4335486113989509,1.12057534106993,0.6870267296709791,0.33079843401425874,54,4455
-0.12948410111712083,0.15712901613175154,-0.8240623170996587,0.40990415020728665,-0.437451313661567,0.1784831114273253,C,0.40990415020728665,0.8785485562458091,0.6456763075155749,1.1954094593489126,0.5497331518333377,0.6334882321385339,54,4455
-3.5954206748924373,0.6517697917690205,-5.516396617790185,3.460208817361044e-08,-4.872865992970889,-2.3179753568139865,links_per_comment_365,3.460208817361044e-08,0.02744913358555646,0.007651225355663955,0.0984750676621968,0.09082384230653284,5.882354989513775e-07,54,4455
-0.03385283612475949,0.19702966051710813,-0.1718159389602158,0.8635822343925608,-0.4200238746244449,0.35231820237492595,convo_broken_link_ratio_365,0.8635822343925608,0.9667137595129588,0.657026470905067,1.4223711436532191,0.7653446727481521,0.8709881175242506,54,4455
-0.20567128369882742,0.15215449654527,-1.3517266224047133,0.17646278524295533,-0.5038886170133807,0.09254604961572582,R_convo_rule_365,0.17646278524295533,0.8141006404554716,0.6041733632834032,1.0969696664351691,0.4927963031517659,0.3506443649161346,54,4455
-0.35851092210110325,0.1849055255681986,-1.938887012702462,0.05251509770869216,-0.7209190927572227,0.0038972485550161085,log_reply_time,0.05251509770869216,0.6987159943501859,0.48630185249414115,1.003911538187387,0.517609685693246,0.17855133220955333,54,4455
-1.3240372098751043,0.3379894909662052,-3.917391650521737,8.951225661884945e-05,-1.9864844393218926,-0.6615899804283162,log_mta_ratio,8.951225661884945e-05,0.26605899478764866,0.13717516239722077,0.5160364855441806,0.3788613231469598,0.0007608541812602204,54,4455
0.06596700119270538,0.4061920006889221,0.16240349657507291,0.8709881175242506,-0.7301546909658507,0.8620886933512615,has_toxicity,0.8709881175242506,1.0681914675400075,0.48182740009167085,2.368136413803337,1.8863090137116663,0.8709881175242506,54,4455
